고객ID,1개월_마일리지,1개월_혜택,3개월_마일리지,3개월_혜택,6개월_마일리지,6개월_혜택,12개월_마일리지,12개월_혜택
7621845500,3710,72616.66666666667,17490,345050.0,56940,1129300.0,187620,3733400.0
7855695312,1190,22216.666666666668,6630,127850.0,21540,421300.0,62630,1233600.0
8505815685,1940,37216.666666666664,10960,214450.0,35950,709500.0,120760,2396200.0
5791291255,2000,38416.666666666664,7020,135650.0,15490,300300.0,47040,921800.0
6256092938,2450,47416.666666666664,20570,406650.0,84400,1678500.0,357090,7122800.0
4461195529,690,12216.666666666666,3970,74650.0,14630,283100.0,52070,1022400.0
8080337355,2400,46416.666666666664,16360,322450.0,56920,1128900.0,205510,4091200.0
7465878805,1210,22616.666666666668,7450,144250.0,23570,461900.0,85440,1689800.0
2932373369,2860,55616.666666666664,20100,397250.0,74910,1488700.0,330200,6585000.0
5631382687,1670,31816.666666666668,10830,211850.0,39990,790300.0,148280,2946600.0
7752409492,970,17816.666666666668,5540,106050.0,18960,369700.0,72050,1422000.0
6940001651,740,13216.666666666666,4850,92250.0,16050,311500.0,50450,990000.0
6362525221,1920,36816.666666666664,17330,341850.0,60810,1206700.0,214270,4266400.0
8793125351,350,5416.666666666667,2660,48450.0,9290,176300.0,30360,588200.0
6762284706,630,11016.666666666666,3450,64250.0,12250,235500.0,45040,881800.0
3816039541,1120,20816.666666666668,6430,123850.0,21790,426300.0,79980,1580600.0
5461014112,3740,73216.66666666667,20090,397050.0,55860,1107700.0,156190,3104800.0
5366617649,410,6616.666666666667,2230,39850.0,9870,187900.0,34990,680800.0
4626328704,330,5016.666666666667,1750,30250.0,3880,68100.0,11450,210000.0
9529221776,860,15616.666666666666,4250,80250.0,16250,315500.0,57820,1137400.0
8568721944,830,15016.666666666666,4960,94450.0,18120,352900.0,63610,1253200.0
8413019218,1230,23016.666666666668,5870,112650.0,21960,429700.0,64920,1279400.0
9056037739,510,8616.666666666666,3690,69050.0,12960,249700.0,46670,914400.0
6271020108,2250,43416.666666666664,12280,240850.0,40150,793500.0,138040,2741800.0
6295152881,790,14216.666666666666,5260,100450.0,15620,302900.0,41650,814000.0
6945274673,970,17816.666666666668,7410,143450.0,26190,514300.0,108760,2156200.0
7094671220,5430,107016.66666666667,25410,503450.0,65450,1299500.0,170800,3397000.0
7810856974,550,9416.666666666666,5000,95250.0,17370,337900.0,72460,1430200.0
7546081773,1070,19816.666666666668,7880,152850.0,28040,551300.0,104030,2061600.0
7665877423,420,6816.666666666667,2120,37650.0,7310,136700.0,25420,489400.0
7570195043,450,7416.666666666667,2610,47450.0,7960,149700.0,22720,435400.0
7177240945,1180,22016.666666666668,4200,79250.0,10100,192500.0,24260,466200.0
7278719052,690,12216.666666666666,4120,77650.0,19240,375300.0,64420,1269400.0
4425783847,890,16216.666666666666,3310,61450.0,10150,193500.0,43180,844600.0
4255672826,1390,26216.666666666668,5380,102850.0,15900,308500.0,51350,1008000.0
8739633096,1540,29216.666666666668,19270,380650.0,50120,992900.0,140670,2794400.0
9672598957,2420,46816.666666666664,14380,282850.0,50260,995700.0,168430,3349600.0
8020065757,1780,34016.666666666664,9070,176650.0,31360,617700.0,99540,1971800.0
5011155483,870,15816.666666666666,5040,96050.0,17890,348300.0,70390,1388800.0
5830100588,1130,21016.666666666668,5170,98650.0,14840,287300.0,51170,1004400.0
8835065846,900,16416.666666666668,4150,78250.0,16720,324900.0,70960,1400200.0
8701901253,480,8016.666666666667,2590,47050.0,8640,163300.0,30590,592800.0
9946021621,800,14416.666666666666,6670,128650.0,28440,559300.0,102690,2034800.0
9811546809,3760,73616.66666666667,19620,387650.0,62840,1247300.0,208300,4147000.0
9382146631,2350,45416.666666666664,13140,258050.0,38780,766100.0,130360,2588200.0
7653326646,1130,21016.666666666668,7140,138050.0,24210,474700.0,90630,1793600.0
8154783625,800,14416.666666666666,4510,85450.0,14840,287300.0,48040,941800.0
6429371976,1120,20816.666666666668,7010,135450.0,27560,541700.0,111480,2210600.0
7012641827,2000,38416.666666666664,11700,229250.0,38860,767700.0,151490,3010800.0
7071626237,1190,22216.666666666668,7570,146650.0,26180,514100.0,82320,1627400.0
4333503950,850,15416.666666666666,4250,80250.0,13640,263300.0,37910,739200.0
6327114306,690,12216.666666666666,3560,66450.0,10060,191700.0,36390,708800.0
4996233021,2070,39816.666666666664,13080,256850.0,44460,879700.0,144810,2877200.0
4920984427,4080,80016.66666666667,20420,403650.0,61840,1227300.0,200360,3988200.0
8275892009,1600,30416.666666666668,10380,202850.0,35050,691500.0,127370,2528400.0
7411087997,730,13016.666666666666,3880,72850.0,14830,287100.0,57980,1140600.0
3840944086,1620,30816.666666666668,12410,243450.0,54930,1089100.0,167920,3339400.0
7054308624,2090,40216.666666666664,10780,210850.0,31420,618900.0,76140,1503800.0
5187850978,390,6216.666666666667,1930,33850.0,6300,116500.0,27700,535000.0
9328925714,1130,21016.666666666668,4670,88650.0,11400,218500.0,35180,684600.0
7978896445,700,12416.666666666666,8410,163450.0,31650,623500.0,109880,2178600.0
7452257010,400,6416.666666666667,2590,47050.0,11130,213100.0,37280,726600.0
6925587749,610,10616.666666666666,3510,65450.0,12490,240300.0,53910,1059200.0
6830190700,1120,20816.666666666668,5400,103250.0,17670,343900.0,67650,1334000.0
8945674725,320,4816.666666666667,1860,32450.0,5880,108100.0,24580,472600.0
9077801474,2410,46616.666666666664,14010,275450.0,56730,1125100.0,199700,3975000.0
5195959887,920,16816.666666666668,5550,106250.0,17930,349100.0,66200,1305000.0
5668087186,540,9216.666666666666,3810,71450.0,12660,243700.0,43900,859000.0
4230230100,1140,21216.666666666668,5520,105650.0,19230,375100.0,98890,1958800.0
5507667443,1580,30016.666666666668,7940,154050.0,23790,466300.0,56190,1104800.0
5206713305,1340,25216.666666666668,10370,202650.0,27320,536900.0,61940,1219800.0
8890884195,1950,37416.666666666664,13900,273250.0,54850,1087500.0,198890,3958800.0
6378762665,1500,28416.666666666668,6950,134250.0,21580,422100.0,71700,1415000.0
6509834944,2390,46216.666666666664,23320,461650.0,59650,1183500.0,137870,2738400.0
7531670691,600,10416.666666666666,4190,79050.0,16010,310700.0,52650,1034000.0
8146419490,3100,60416.666666666664,16320,321650.0,48670,963900.0,164930,3279600.0
2583978049,780,14016.666666666666,4020,75650.0,13150,253500.0,39630,773600.0
4089722893,1220,22816.666666666668,6130,117850.0,18150,353500.0,56130,1103600.0
4027592792,2280,44016.666666666664,12780,250850.0,43220,854900.0,160150,3184000.0
3106933896,760,13616.666666666666,4970,94650.0,24180,474100.0,94690,1874800.0
5185487347,2220,42816.666666666664,13260,260450.0,43020,850900.0,159290,3166800.0
5561648943,2470,47816.666666666664,12370,242650.0,40010,790700.0,144990,2880800.0
5752236735,1510,28616.666666666668,8370,162650.0,26820,526900.0,99540,1971800.0
3772013408,790,14216.666666666666,5350,102250.0,24620,482900.0,87790,1736800.0
7244631231,1280,24016.666666666668,5590,107050.0,15690,304300.0,50670,994400.0
9365620282,640,11216.666666666666,5740,110050.0,20580,402100.0,77030,1521600.0
9525032018,2410,46616.666666666664,11300,221250.0,40200,794500.0,177380,3528600.0
9532344822,610,10616.666666666666,4190,79050.0,16120,312900.0,77970,1540400.0
9046601141,20760,413616.6666666667,91710,1829450.0,278120,5552900.0,868250,17346000.0
9839582555,2880,56016.666666666664,13650,268250.0,45630,903100.0,154560,3072200.0
8142455487,830,15016.666666666666,8790,171050.0,30420,598900.0,114360,2268200.0
7320117304,770,13816.666666666666,5960,114450.0,25480,500100.0,101550,2012000.0
3293322595,1440,27216.666666666668,6800,131250.0,17240,335300.0,40280,786600.0
9444029805,1780,34016.666666666664,7090,137050.0,24390,478300.0,67730,1335600.0
9057890121,1670,31816.666666666668,10270,200650.0,40590,802300.0,149960,2980200.0
8214025806,1160,21616.666666666668,5660,108450.0,17520,340900.0,56810,1117200.0
9892555791,5720,112816.66666666667,33520,665650.0,108290,2156300.0,359120,7163400.0
8357690866,890,16216.666666666666,6460,124450.0,23790,466300.0,88780,1756600.0
9303239112,480,8016.666666666667,3140,58050.0,8440,159300.0,35000,681000.0
7556846471,1110,20616.666666666668,5300,101250.0,19540,381300.0,69740,1375800.0
9061552866,2190,42216.666666666664,10840,212050.0,33220,654900.0,115430,2289600.0
8543022913,760,13616.666666666666,4710,89450.0,11640,223300.0,25620,493400.0
9266017512,1440,27216.666666666668,5850,112250.0,13110,252700.0,29740,575800.0
9506915063,2990,58216.666666666664,15570,306650.0,47130,933100.0,152660,3034200.0
7410037684,790,14216.666666666666,4800,91250.0,18900,368500.0,72690,1434800.0
7491836817,1100,20416.666666666668,6080,116850.0,25320,496900.0,97140,1923800.0
5242112463,2290,44216.666666666664,15070,296650.0,50470,999900.0,166930,3319600.0
4276113468,1280,24016.666666666668,6000,115250.0,18730,365100.0,48220,945400.0
8733353779,910,16616.666666666668,8810,171450.0,30370,597900.0,118580,2352600.0
9236384463,520,8816.666666666666,4280,80850.0,18140,353300.0,73390,1448800.0
9301422548,1030,19016.666666666668,6740,130050.0,20120,392900.0,64340,1267800.0
5819876413,700,12416.666666666666,4550,86250.0,18090,352300.0,77260,1526200.0
9412043203,700,12416.666666666666,4580,86850.0,18430,359100.0,76620,1513400.0
7384620635,1180,22016.666666666668,5150,98250.0,16050,311500.0,62300,1227000.0
7835497496,580,10016.666666666666,5940,114050.0,20550,401500.0,73250,1446000.0
8190963176,1630,31016.666666666668,7750,150250.0,27390,538300.0,97490,1930800.0
6730049901,1190,22216.666666666668,6340,122050.0,14710,284700.0,31450,610000.0
6143086856,470,7816.666666666667,4890,93050.0,25970,509900.0,96070,1902400.0
9279653220,3100,60416.666666666664,15250,300250.0,49060,971700.0,161090,3202800.0
8701888890,1410,26616.666666666668,8150,158250.0,23690,464300.0,59150,1164000.0
8514718735,970,17816.666666666668,6000,115250.0,23160,453700.0,92810,1837200.0
9490685687,490,8216.666666666666,3650,68250.0,15390,298300.0,56460,1110200.0
9479418911,2990,58216.666666666664,22530,445850.0,102390,2038300.0,424120,8463400.0
9462620736,910,16616.666666666668,5140,98050.0,17890,348300.0,68200,1345000.0
9451083130,540,9216.666666666666,3110,57450.0,7590,142300.0,21410,409200.0
9384785000,810,14616.666666666666,4680,88850.0,21120,412900.0,117990,2340800.0
9563030199,1120,20816.666666666668,5640,108050.0,22810,446700.0,88340,1747800.0
5483274613,1850,35416.666666666664,10250,200250.0,37690,744300.0,144320,2867400.0
5274874374,580,10016.666666666666,3320,61650.0,12110,232700.0,47510,931200.0
7535865151,1040,19216.666666666668,6480,124850.0,21360,417700.0,74270,1466400.0
7361285819,920,16816.666666666668,5470,104650.0,18710,364700.0,82090,1622800.0
7390656566,680,12016.666666666666,4730,89850.0,17610,342700.0,72110,1423200.0
7221030176,800,14416.666666666666,3790,71050.0,13920,268900.0,47280,926600.0
8188362422,410,6616.666666666667,3680,68850.0,11650,223500.0,34520,671400.0
8152703767,450,7416.666666666667,5870,112650.0,35680,704100.0,124420,2469400.0
7962892412,650,11416.666666666666,4350,82250.0,16910,328700.0,58250,1146000.0
7919374501,2220,42816.666666666664,17760,350450.0,66410,1318700.0,279970,5580400.0
7807453293,1510,28616.666666666668,7690,149050.0,22580,442100.0,83530,1651600.0
7743486751,1040,19216.666666666668,4160,78450.0,12260,235700.0,39450,770000.0
7718043683,450,7416.666666666667,2390,43050.0,7060,131700.0,24160,464200.0
6710364769,340,5216.666666666667,2280,40850.0,8230,155100.0,35270,686400.0
7115899068,790,14216.666666666666,3840,72050.0,12970,249900.0,44170,864400.0
6116627978,1060,19616.666666666668,7380,142850.0,26500,520500.0,114670,2274400.0
6365118475,1220,22816.666666666668,5230,99850.0,13410,258700.0,40130,783600.0
4498416856,900,16416.666666666668,6010,115450.0,22550,441500.0,82420,1629400.0
4582809976,1440,27216.666666666668,7040,136050.0,20500,400500.0,60600,1193000.0
7230488492,4210,82616.66666666667,18780,370850.0,59690,1184300.0,201980,4020600.0
9343091958,1390,26216.666666666668,8800,171250.0,33950,669500.0,136440,2709800.0
7745324764,1290,24216.666666666668,8320,161650.0,28740,565300.0,97050,1922000.0
8173929747,1020,18816.666666666668,6840,132050.0,26330,517100.0,100820,1997400.0
7989641383,1270,23816.666666666668,5700,109250.0,20420,398900.0,71460,1410200.0
5950674198,680,12016.666666666666,4250,80250.0,16660,323700.0,60100,1183000.0
5596544493,560,9616.666666666666,2860,52450.0,15290,296300.0,58860,1158200.0
9476773490,440,7216.666666666667,2560,46450.0,6830,127100.0,19190,364800.0
8852104566,810,14616.666666666666,4010,75450.0,10790,206300.0,87940,1739800.0
9238226254,640,11216.666666666666,3030,55850.0,7890,148300.0,32280,626600.0
8325962025,1470,27816.666666666668,5770,110650.0,13450,259500.0,51610,1013200.0
3856431880,790,14216.666666666666,4620,87650.0,15570,301900.0,56480,1110600.0
3995871808,3530,69016.66666666667,15310,301450.0,38580,762100.0,113310,2247200.0
8352188801,510,8616.666666666666,4150,78250.0,16550,321500.0,63910,1259200.0
8971116204,620,10816.666666666666,3340,62050.0,11780,226100.0,37500,731000.0
5311585071,850,15416.666666666666,4220,79650.0,10480,200100.0,31830,617600.0
6612081233,790,14216.666666666666,4450,84250.0,16860,327700.0,65100,1283000.0
7044103414,1400,26416.666666666668,6500,125250.0,24530,481100.0,88170,1744400.0
6323442427,1510,28616.666666666668,7870,152650.0,26290,516300.0,77680,1534600.0
8000398994,1670,31816.666666666668,10810,211450.0,34820,686900.0,108470,2150400.0
7886623973,3560,69616.66666666667,17470,344650.0,55480,1100100.0,191330,3807600.0
3810281420,820,14816.666666666666,4480,84850.0,15470,299900.0,55490,1090800.0
4890821968,410,6616.666666666667,4950,94250.0,13230,255100.0,40290,786800.0
8072728831,1210,22616.666666666668,5600,107250.0,24730,485100.0,92420,1829400.0
8858384728,2380,46016.666666666664,13530,265850.0,44830,887100.0,195610,3893200.0
5351672529,1640,31216.666666666668,7940,154050.0,27670,543900.0,119190,2364800.0
4577054974,2290,44216.666666666664,15550,306250.0,50300,996500.0,158670,3154400.0
7070052040,2280,44016.666666666664,10870,212650.0,29290,576300.0,93560,1852200.0
7867491811,510,8616.666666666666,4390,83050.0,12910,248700.0,29950,580000.0
8714223001,440,7216.666666666667,3200,59250.0,13010,250700.0,53470,1050400.0
5266227793,400,6416.666666666667,2400,43250.0,8360,157700.0,30390,588800.0
7214759048,550,9416.666666666666,3370,62650.0,8260,155700.0,21640,413800.0
6418072343,1640,31216.666666666668,10730,209850.0,42810,846700.0,161540,3211800.0
6582459305,5130,101016.66666666667,23750,470250.0,74830,1487100.0,249640,4973800.0
3569627232,1620,30816.666666666668,7760,150450.0,25840,507300.0,87110,1723200.0
8179956909,2120,40816.666666666664,9290,181050.0,34160,673700.0,101450,2010000.0
9832520462,520,8816.666666666666,3310,61450.0,14270,275900.0,51440,1009800.0
5918957015,7550,149416.66666666666,44690,889050.0,162660,3243700.0,577440,11529800.0
7416074708,380,6016.666666666667,2260,40450.0,8070,151900.0,28110,543200.0
