고객ID,1개월_혜택,3개월_혜택,6개월_혜택,12개월_혜택
7621845500,5546.666666666667,9700.0,15350.0,27590.0
7855695312,1256.6666666666667,2750.0,6020.0,5550.0
8505815685,2936.666666666667,8650.0,14910.0,19530.0
5791291255,1166.6666666666667,1000.0,-50.0,4680.0
6256092938,2096.666666666667,10920.0,26400.0,69060.0
4461195529,96.66666666666674,110.0,380.0,150.0
8080337355,2106.666666666667,8470.0,17270.0,39370.0
7465878805,2626.666666666667,10800.0,15640.0,29990.0
2932373369,3106.666666666667,11400.0,27010.0,65880.0
5631382687,5666.666666666667,18460.0,38990.0,70300.0
7752409492,976.6666666666667,2880.0,6130.0,13480.0
6940001651,326.66666666666674,2110.0,4270.0,5060.0
6362525221,6256.666666666667,16790.0,32660.0,68550.0
8793125351,-483.33333333333326,-130.0,600.0,760.0
6762284706,156.66666666666674,-10.0,-460.0,-1570.0
3816039541,1666.6666666666667,5310.0,12750.0,30620.0
5461014112,6776.666666666667,16750.0,20410.0,32980.0
5366617649,806.6666666666667,1430.0,3970.0,7330.0
4626328704,36.66666666666674,5060.0,2730.0,1990.0
9529221776,2096.666666666667,3130.0,7860.0,10380.0
8568721944,1136.6666666666667,3300.0,7410.0,8400.0
8413019218,3966.666666666667,4070.0,30390.0,30210.0
9056037739,876.6666666666667,1320.0,3770.0,6800.0
6271020108,6036.666666666667,19620.0,33090.0,71230.0
6295152881,496.66666666666674,1500.0,1930.0,9170.0
6945274673,1426.6666666666667,4540.0,9910.0,23780.0
7094671220,7476.666666666667,13330.0,14840.0,15280.0
7810856974,316.66666666666674,2890.0,4840.0,10880.0
7546081773,3646.666666666667,11670.0,19610.0,36330.0
7665877423,246.66666666666674,970.0,1610.0,6860.0
7570195043,-83.33333333333326,390.0,-470.0,-2820.0
7177240945,1126.6666666666667,3130.0,3250.0,670.0
7278719052,516.6666666666667,3880.0,9840.0,16560.0
4425783847,1376.6666666666667,2670.0,4890.0,21720.0
4255672826,1846.6666666666667,2190.0,4260.0,18150.0
8739633096,3046.666666666667,14080.0,16400.0,25340.0
9672598957,3836.666666666667,10610.0,25150.0,52500.0
8020065757,2776.666666666667,6360.0,12010.0,14750.0
5011155483,456.66666666666674,1210.0,2900.0,6980.0
5830100588,1856.6666666666667,2960.0,5530.0,12390.0
8835065846,306.66666666666674,480.0,5510.0,12910.0
8701901253,726.6666666666667,1810.0,3160.0,6560.0
9946021621,1116.6666666666667,5780.0,26370.0,38170.0
9811546809,16666.666666666668,28620.0,34450.0,61810.0
9382146631,5546.666666666667,18070.0,25270.0,37630.0
7653326646,1346.6666666666667,3350.0,5810.0,11540.0
8154783625,896.6666666666667,1670.0,1900.0,660.0
6429371976,2626.666666666667,9540.0,19570.0,40400.0
7012641827,1706.6666666666667,5400.0,10310.0,22160.0
7071626237,4556.666666666667,14150.0,24670.0,32530.0
4333503950,76.66666666666674,-590.0,-1460.0,-3310.0
6327114306,756.6666666666667,1520.0,2240.0,6960.0
4996233021,4296.666666666667,20100.0,38880.0,55290.0
4920984427,13986.666666666666,31230.0,52370.0,95940.0
8275892009,2266.666666666667,5030.0,8990.0,17060.0
7411087997,706.6666666666667,2900.0,8660.0,14880.0
3840944086,1266.6666666666667,5690.0,44860.0,46550.0
7054308624,4556.666666666667,7540.0,8930.0,5830.0
5187850978,696.6666666666667,1840.0,3130.0,7600.0
9328925714,896.6666666666667,2050.0,760.0,1030.0
7978896445,106.66666666666674,4410.0,7510.0,14400.0
7452257010,106.66666666666674,550.0,2740.0,3700.0
6925587749,646.6666666666667,2050.0,3780.0,19270.0
6830190700,1066.6666666666667,2070.0,4570.0,6540.0
8945674725,-513.3333333333333,-1140.0,-2510.0,-3930.0
9077801474,3076.666666666667,8030.0,24220.0,38000.0
5195959887,386.66666666666674,900.0,1710.0,3070.0
5668087186,186.66666666666674,130.0,-700.0,-1320.0
4230230100,1686.6666666666667,2650.0,5720.0,62630.0
5507667443,746.6666666666667,1660.0,780.0,-3730.0
5206713305,566.6666666666667,7230.0,5400.0,1970.0
8890884195,1176.6666666666667,5170.0,19910.0,53310.0
6378762665,906.6666666666667,1680.0,8780.0,11730.0
6509834944,2156.666666666667,10570.0,9950.0,7530.0
7531670691,576.6666666666667,4310.0,12340.0,21420.0
8146419490,5866.666666666667,20330.0,38640.0,82360.0
2583978049,-53.33333333333326,-690.0,170.0,-2530.0
4089722893,386.66666666666674,310.0,-400.0,-1170.0
4027592792,2706.666666666667,6500.0,11110.0,20560.0
3106933896,1786.6666666666667,6520.0,15520.0,18400.0
5185487347,1866.6666666666667,6090.0,9540.0,19210.0
5561648943,6256.666666666667,13260.0,27050.0,51000.0
5752236735,676.6666666666667,1660.0,3950.0,8470.0
3772013408,1636.6666666666667,4860.0,18980.0,27160.0
7244631231,3716.666666666667,7360.0,13820.0,20990.0
9365620282,826.6666666666667,5310.0,8590.0,25830.0
9525032018,1576.6666666666667,5190.0,14580.0,32210.0
9532344822,1546.6666666666667,2020.0,11060.0,29140.0
9046601141,25836.666666666668,47830.0,92250.0,150110.0
9839582555,6366.666666666667,14070.0,30000.0,53270.0
8142455487,56.66666666666674,2130.0,4900.0,7480.0
7320117304,416.66666666666674,1690.0,5350.0,14770.0
3293322595,1276.6666666666667,2140.0,610.0,-2560.0
9444029805,1486.6666666666667,1810.0,3060.0,1540.0
9057890121,1556.6666666666667,6650.0,18830.0,36950.0
8214025806,896.6666666666667,610.0,1040.0,2510.0
9892555791,7016.666666666667,16470.0,30560.0,74820.0
8357690866,2036.6666666666667,7450.0,16390.0,32630.0
9303239112,-353.33333333333326,-980.0,-10.0,280.0
7556846471,2046.6666666666667,3410.0,14830.0,23980.0
9061552866,4146.666666666667,13150.0,20350.0,43180.0
8543022913,766.6666666666667,2030.0,3160.0,530.0
9266017512,606.6666666666667,-80.0,-1280.0,-4040.0
9506915063,2276.666666666667,5150.0,9020.0,16550.0
7410037684,76.66666666666674,1220.0,2690.0,5190.0
7491836817,2456.666666666667,5690.0,24970.0,41110.0
5242112463,1816.6666666666667,12260.0,19680.0,31760.0
4276113468,1916.6666666666667,2820.0,3240.0,1660.0
8733353779,1336.6666666666667,9830.0,20160.0,36660.0
9236384463,1486.6666666666667,3770.0,5610.0,10530.0
9301422548,256.66666666666674,2100.0,4190.0,13030.0
5819876413,1366.6666666666667,3150.0,11700.0,32390.0
9412043203,646.6666666666667,2260.0,6400.0,18660.0
7384620635,1006.6666666666667,1890.0,3280.0,8800.0
7835497496,406.66666666666674,3240.0,8420.0,17210.0
8190963176,2506.666666666667,6440.0,13700.0,33470.0
6730049901,416.66666666666674,1070.0,-560.0,-5130.0
6143086856,-363.33333333333326,840.0,6430.0,13390.0
9279653220,2506.666666666667,5400.0,8480.0,13850.0
8701888890,1746.6666666666667,5570.0,6080.0,4710.0
8514718735,1126.6666666666667,8860.0,15980.0,31860.0
9490685687,916.6666666666667,5600.0,10420.0,14810.0
9479418911,4726.666666666667,17120.0,42510.0,92260.0
9462620736,376.66666666666674,1510.0,4150.0,14380.0
9451083130,6.6666666666667425,-310.0,1270.0,-1700.0
9384785000,456.66666666666674,1080.0,18400.0,37720.0
9563030199,1666.6666666666667,3140.0,9050.0,19730.0
5483274613,1256.6666666666667,5370.0,12020.0,24450.0
5274874374,106.66666666666674,1250.0,3790.0,8330.0
7535865151,1196.6666666666667,3330.0,4910.0,10500.0
7361285819,566.6666666666667,1560.0,4490.0,11780.0
7390656566,-93.33333333333326,410.0,1530.0,6220.0
7221030176,26.666666666666742,-760.0,4130.0,2160.0
8188362422,-123.33333333333326,2290.0,7650.0,8740.0
8152703767,66.66666666666674,2970.0,13960.0,24130.0
7962892412,1316.6666666666667,3230.0,8230.0,13060.0
7919374501,4416.666666666667,16870.0,32390.0,65700.0
7807453293,1336.6666666666667,2980.0,16280.0,24220.0
7743486751,1226.6666666666667,670.0,160.0,1050.0
7718043683,-143.33333333333326,-680.0,-1980.0,-3250.0
6710364769,-373.33333333333326,-890.0,-780.0,-400.0
7115899068,676.6666666666667,530.0,2070.0,4800.0
6116627978,1006.6666666666667,3480.0,5330.0,28360.0
6365118475,746.6666666666667,740.0,-740.0,-690.0
4498416856,66.66666666666674,4810.0,9200.0,19090.0
4582809976,1446.6666666666667,3840.0,4150.0,4570.0
7230488492,7816.666666666667,17080.0,31590.0,49940.0
9343091958,2596.666666666667,8670.0,17600.0,44690.0
7745324764,2016.6666666666667,6910.0,16150.0,26120.0
8173929747,1176.6666666666667,4750.0,11790.0,22560.0
7989641383,1336.6666666666667,2300.0,4060.0,7450.0
5950674198,26.666666666666742,330.0,2510.0,2990.0
5596544493,-213.33333333333326,350.0,5680.0,11860.0
9476773490,-273.33333333333326,-610.0,-750.0,-3600.0
8852104566,1266.6666666666667,1050.0,3130.0,33730.0
9238226254,-193.33333333333326,-710.0,-980.0,-2090.0
8325962025,3866.666666666667,4010.0,3890.0,11910.0
3856431880,2296.666666666667,6370.0,11350.0,16950.0
3995871808,5186.666666666667,8180.0,9380.0,48740.0
8352188801,276.66666666666674,2040.0,3620.0,7220.0
8971116204,686.6666666666667,1770.0,3180.0,4450.0
5311585071,16.666666666666742,-390.0,-1430.0,-1560.0
6612081233,436.66666666666674,2420.0,5430.0,11830.0
7044103414,2966.666666666667,4950.0,17940.0,29550.0
6323442427,5246.666666666667,12290.0,21050.0,23340.0
8000398994,5196.666666666667,10210.0,13830.0,20090.0
7886623973,4766.666666666667,8910.0,16310.0,31200.0
3810281420,706.6666666666667,3500.0,4510.0,9290.0
4890821968,356.66666666666674,10680.0,13670.0,23110.0
8072728831,796.6666666666667,1160.0,5350.0,12870.0
8858384728,2716.666666666667,7330.0,17580.0,41520.0
5351672529,1406.6666666666667,7600.0,16070.0,42310.0
4577054974,1636.6666666666667,5760.0,10900.0,20100.0
7070052040,1506.6666666666667,2370.0,2630.0,5320.0
7867491811,-203.33333333333326,-90.0,-410.0,-5260.0
8714223001,-93.33333333333326,290.0,1960.0,6040.0
