고객ID,A카드_최근1개월혜택,A카드_최근3개월혜택,A카드_최근6개월혜택,A카드_최근12개월혜택
2323689202,-416.6666666666667,-750.0,1000.0,-1000.0
2351744256,1583.3333333333333,4250.0,5000.0,2500.0
2364078941,4583.333333333333,23750.0,42500.0,45500.0
2365911085,-416.6666666666667,250.0,-500.0,-2000.0
2378229875,9583.333333333334,28750.0,31500.0,35000.0
2436947037,3083.3333333333335,6750.0,5500.0,5000.0
2451087222,1583.3333333333333,10250.0,25000.0,40500.0
2456346254,-416.6666666666667,1250.0,4000.0,2000.0
2461304994,-416.6666666666667,2250.0,1000.0,10000.0
2473390724,-416.6666666666667,-1250.0,-2500.0,-4500.0
2474676081,7083.333333333333,10750.0,22000.0,42500.0
2475746096,-416.6666666666667,-750.0,500.0,-2000.0
2506162545,5083.333333333333,10250.0,24500.0,38500.0
2514787934,1583.3333333333333,750.0,5500.0,7500.0
2531053981,-416.6666666666667,-1250.0,-2500.0,-5000.0
2541261259,-416.6666666666667,-1250.0,-1000.0,4000.0
2570901798,4583.333333333333,7750.0,11000.0,17000.0
2586895764,1583.3333333333333,10250.0,23000.0,46000.0
2612314757,-416.6666666666667,-1250.0,-2500.0,-4000.0
2619381071,2083.3333333333335,3750.0,3500.0,23000.0
2623860008,3083.3333333333335,12250.0,12000.0,20000.0
2625162801,7583.333333333333,8750.0,9000.0,18500.0
2628057656,1583.3333333333333,3250.0,3500.0,10500.0
2644569886,3583.3333333333335,8250.0,23500.0,31000.0
2651371333,4583.333333333333,16250.0,31000.0,53500.0
2663447634,2083.3333333333335,8750.0,22500.0,40000.0
2668140198,-416.6666666666667,250.0,13000.0,15000.0
2692257232,-416.6666666666667,-1250.0,-2500.0,-4500.0
2698043019,2083.3333333333335,21250.0,30500.0,74500.0
2707470334,9583.333333333334,22750.0,37500.0,60500.0
2714799669,4583.333333333333,18750.0,30500.0,72500.0
2723978354,-416.6666666666667,-250.0,1000.0,7500.0
2733428730,9583.333333333334,13750.0,32000.0,59000.0
2738660997,-416.6666666666667,-1250.0,-2500.0,-5000.0
2743394111,83.33333333333331,750.0,2500.0,6500.0
2751263834,9583.333333333334,19250.0,39000.0,73000.0
2760154455,583.3333333333333,3250.0,16000.0,24000.0
2763306581,1083.3333333333333,1250.0,1000.0,2500.0
2770917636,-416.6666666666667,8750.0,7500.0,6500.0
2780085576,83.33333333333331,-750.0,-1500.0,-4000.0
2793704708,83.33333333333331,250.0,500.0,-2000.0
2794511592,1583.3333333333333,14750.0,13500.0,16500.0
2795020145,83.33333333333331,-250.0,500.0,8000.0
2796599758,-416.6666666666667,-1250.0,-2500.0,-5000.0
2798426586,-416.6666666666667,-750.0,9000.0,20500.0
2799744889,3083.3333333333335,14250.0,28000.0,45000.0
2807886990,9583.333333333334,28250.0,55500.0,98000.0
2813381569,-416.6666666666667,6250.0,7000.0,4500.0
2813655066,-416.6666666666667,2250.0,1500.0,-1000.0
2813919750,4583.333333333333,11750.0,33500.0,48500.0
2816515187,-416.6666666666667,-1250.0,-2500.0,-3500.0
2818633355,583.3333333333333,2750.0,7500.0,10000.0
2822549102,1583.3333333333333,6750.0,15000.0,32500.0
2822809519,3583.3333333333335,8750.0,20000.0,38000.0
2823080994,-416.6666666666667,3750.0,22000.0,29500.0
2830692412,2083.3333333333335,2750.0,4500.0,6000.0
