고객ID,1개월_혜택,3개월_혜택,6개월_혜택,12개월_혜택
5781649063,-833.3333333333333,2500.0,0.0,-2000.0
4528838286,2166.666666666667,6500.0,5000.0,7000.0
8027432911,8166.666666666667,7500.0,5000.0,6000.0
9899409772,2166.666666666667,14500.0,33000.0,66000.0
5964090220,3166.666666666667,6500.0,22000.0,35000.0
8183939629,14166.666666666666,20500.0,24000.0,81000.0
7822148894,-833.3333333333333,5500.0,5000.0,2000.0
7754514810,-833.3333333333333,1500.0,3000.0,3000.0
8443433767,-833.3333333333333,-2500.0,-5000.0,-10000.0
7345337350,3166.666666666667,4500.0,4000.0,4000.0
9198171901,3166.666666666667,9500.0,17000.0,32000.0
5849800646,5166.666666666667,13500.0,20000.0,37000.0
4311785492,5166.666666666667,14500.0,39000.0,69000.0
5756484991,-833.3333333333333,6500.0,20000.0,49000.0
5156405380,2166.666666666667,9500.0,22000.0,60000.0
9281775723,-833.3333333333333,-2500.0,-4000.0,-5000.0
6487325475,5166.666666666667,12500.0,28000.0,48000.0
6749983728,13166.666666666666,24500.0,44000.0,73000.0
7030494468,10166.666666666666,38500.0,84000.0,140000.0
8158747733,3166.666666666667,11500.0,45000.0,89000.0
7671418621,166.66666666666674,500.0,-2000.0,-6000.0
7203755365,11166.666666666666,24500.0,55000.0,110000.0
8961973130,-833.3333333333333,-2500.0,3000.0,-2000.0
9215452307,3166.666666666667,6500.0,13000.0,11000.0
8714242065,1166.6666666666667,500.0,3000.0,1000.0
9954715099,3166.666666666667,9500.0,7000.0,4000.0
9776705469,3166.666666666667,19500.0,28000.0,39000.0
7636025947,-833.3333333333333,-2500.0,-1000.0,-5000.0
7938808193,-833.3333333333333,1500.0,4000.0,9000.0
6601626569,4166.666666666667,12500.0,21000.0,31000.0
6191615630,6166.666666666667,10500.0,8000.0,3000.0
6471607697,3166.666666666667,9500.0,15000.0,25000.0
6442765951,14166.666666666666,32500.0,67000.0,123000.0
3809793910,166.66666666666674,-500.0,-2000.0,-7000.0
3768637458,7166.666666666667,23500.0,54000.0,79000.0
5074894787,7166.666666666667,7500.0,6000.0,4000.0
5385026014,4166.666666666667,8500.0,22000.0,35000.0
8814120754,16166.666666666666,46500.0,86000.0,140000.0
9116118905,13166.666666666666,34500.0,75000.0,145000.0
9254512135,166.66666666666674,7500.0,14000.0,21000.0
8585527595,12166.666666666666,12500.0,13000.0,20000.0
8580546787,8166.666666666667,20500.0,50000.0,95000.0
8508441073,-833.3333333333333,-500.0,-1000.0,-4000.0
8499529729,166.66666666666674,4500.0,2000.0,-1000.0
9652731954,5166.666666666667,12500.0,20000.0,35000.0
